,Date,Review,Rating
0," April 17, 2019", Chris Evans embodies the spirit of Captain America as the Marvel Cinematic Universe introduces us to the super soldier from Brooklyn.,5/5
1," February 8, 2019"," Captain America: The First Avenger is an agreeable diversion. It's rock 'em, sock 'em comic book fun, but unlike many of the onscreen locations, the story never really catches fire.",
2," January 18, 2019"," Overall, it's a pretty solid fare with a straightforward story.",
3," January 7, 2019"," The action is exciting, and even better, there's humor and heart.",3.5/5
4," December 8, 2018"," It may feel a little hokey, being set way back, but for me, it's an enjoyable easy watch with a sense of fun and escapism that it doesn't get full credit for.",8.5/10
5," November 4, 2018"," Nothing less than an action-packed good time with a great cast, a great lead, a great score and great action sequences. In case you haven't guessed by now, it's great.",7/10
6," November 1, 2018"," It's loaded with enough action and emotion to lure in audiences not steeped in comic book minutia, but also peppered with enough tie-ins and callbacks to send a tingle up the legs of the faithful. ",B+
7," August 29, 2018"," This movie improves on every viewing, especially with the hindsight subsequent MCU movies offer- but Peggy Carter deserves more!",
8," August 24, 2018", Captain America is simply awful. It is another hour and a half of prologue to the film people are apparently waiting for The Avengers.,1/5
9," July 17, 2018"," Parents of comic book fans could do much, much worse. ",
10," October 23, 2017", It's the big hit Marvel needed to be and a strong platform for The Avengers... ,
11," September 8, 2017", Captain America is a truly humble story that fortifies the character both physically and morally.,A-
12," August 21, 2017"," Director Joe Johnston tries to inject some pulpy '40s-style fizz into the proceeding, but the film's lead footed pace never seems to lighten up.",
13," November 29, 2016"," Though it's never much of a question who'll save the day, it's nice to be able to feel like the good guy's worth rooting for.",A-
14," July 22, 2016"," Captain America's a superhero due to a super serum, but he looks cool, has cool moves, and flings his shield with bombast, thus making America great again, and safe again.",4/5
15," July 14, 2015"," Director Joe Johnston re-confirms his mastery of special effects, but he doesn't let them get in the way of his telling a story.",3/4
16," July 14, 2015", It's simply an old-fashioned good-versus-evil yarn. And it's all the better for it.,
17," July 14, 2015"," Totally lacking in ambiguity, Captain America is great fun.",
18," July 14, 2015", Explosive and highly entertaining.,3.5/5
19," July 14, 2015"," This has definitely been the summer of the superhero film. I'd put this one just below X-Men: First Class, but above Green Lantern and well above Thor.",4/4
20," July 14, 2015"," It's very, very well done.",3.5/5
21," July 14, 2015"," Joe Johnston hits just the right tone, finding the heart of this often misunderstood character, and tempering proceedings with the perfect blend of humour, action and characterisation.",
22," July 14, 2015", It's no masterpiece but fun enough to continue to whet the appetite for The Avengers.,6/10
23," July 14, 2015"," As summer blockbusters go, it's a notch or two above average.",
24," July 14, 2015"," Though unfailingly earnest and cheesy from open to close, Captain America: The First Avenger still delivers everything it promises with plenty of endearing good humour and occasional pulses of exciting panache.",3/5
25," July 14, 2015"," As formulaic as it is, it's one of the more joyful examples of the genre, largely because it's a period piece.",
26," July 14, 2015"," As this summer's glut of superhero movies goes, let's just say that it's no X-Men: First Class but at least it's more enjoyably goofy than Thor.",
27," July 14, 2015"," The film's kitschy, retro production design is creative, some of the FX are endearingly hokey, and the screenplay has its share of laughs and solid dramatic moments.",3/4
28," July 14, 2015"," Full of exciting action and earnest emotion, Captain America: The First Avenger is perhaps the most superhero-ey of this summer's superhero movies.",3/4
29," July 14, 2015", The story squanders its own fine setup.,2/5
30," July 14, 2015"," Big and blousy, brash and loud and with a distinct twinkle in its star-spangled eye, it's the action movie to see if you really can't stomach any more wand-waving wizards and transforming robots.",9/10
31," July 14, 2015"," The best bit in this year's umpteenth comic book blockbuster, Captain America: The First Avenger, is when Tommy Lee Jones eats some steak.",1/5
32," July 14, 2015"," Chris Evans did the impossible. He became Steve Rogers, inside and out.",
33," July 14, 2015"," Viewed as the explosion-a-minute, simple action film that it's intended to be, Captain America delivers on what it needs to do: introduce the character to mainstream audiences while not offending longtime fans, and prime the public for The Avengers.",
34," April 9, 2014", ...a cut above its lackluster Marvel brethren for most of its running time (if only because it primarily resembles an actual movie more than it does a collection of special effects sequences).,3/4
35," March 20, 2014"," Captain America: The First Avenger feels like a clichéd blast from the past, lacking the spunk and grit that has made other comic book movies successful.",
36," June 30, 2013", A lifeless and clichéd action film that never lives up to its title or its title characters' ideals.,2.0/5
37," June 22, 2013"," It's difficult to dislike ""Captain America"" too much, because it's harmless and innocuous and, unlike almost every other tentpole summer movie, isn't secretly trying to give the audience a seizure. ",C+
38," April 12, 2013", The result is fun and refreshingly retro.,3/4
39," April 12, 2013"," A whizz-bang, retro-futuristic adventure that mercifully eschews the brooding Dark Knight trend to offer an exhilarating thrill ride that perfectly captures the enduring optimism of the 1940s.",3.5/4
40," March 2, 2013", Captain America: The First Avenger is definitely the best superhero film of the year and it's one hell of a fun ride. This is a must see!,9/10
41," December 28, 2012", The real marvel of it all is how much fun it actually is.,3/4
