,Date,Review,Rating
0," April 18, 2019", [I] found it much more entertaining than Phantom Menace or Attack of the Clones.,C
1," January 26, 2019"," This tells the story of the downfall of the Jedi and the rise of Darth Vader well, and that's all I ever wanted out of the Prequels in the first place...",4/5
2," January 8, 2019"," The technical wizardry, the special effects, the ear-buzzing sound, the mind-numbing action and those magnificent light-sabres are all there.",3/4
3," December 17, 2018"," It missed at points and hit home runs in others, but it was a great end to a fun ride.",7.5/10
4," January 29, 2018"," Lucas controls himself, unlike in the previous prequels, and sticks to the most poignant issues, which makes the transition from Sith to A New Hope effortless.",B
5," November 13, 2017"," Lucas is not a master of writing dialogue... but save for some exaggerated or somewhat absurd moments, ""Revenge of the Sith"" is a great ""Star Wars"" movie, a roller coaster of action and emotion. [Full review in Spanish]",3.5/4
6," June 5, 2016"," Some of it is is truly, unmissably great. Some of it is hilariously awful, and some of it is awful enough to not even crawl up to the level of hilarity",6/10
7," December 15, 2015"," The special effects, of course, are incomparably good and the digital photography achieves a dazzling clarity.",4/5
8," December 14, 2015"," With a willingness to take the Star Wars saga to its necessary darkest direction, 'Sith' delivers an epic, masterful payoff to the prequels. ",10/10
9," November 16, 2015", The best of Lucas's recent SW trilogy.,3/5
10," November 16, 2015"," Critics and fans are already praising the movie, claiming it's better than Phantom Menace and Attack of the Clones. But that's not difficult, as both movies were bad, and the new one is just as bad in many ways.",
11," November 16, 2015", Star Wars is awesome again.,4/5
12," November 16, 2015"," It soon becomes obvious that there is no avoiding the burden of predictability: there is nothing, essentially, in the film's story that we don't know already.",2.5/5
13," November 16, 2015"," From the opening frames of Lucas' final Star Wars instalment, it's clear the shackles are off.",4/5
14," November 16, 2015", Part III is much better than I and II. We should be grateful for that.,
15," November 16, 2015"," Lucas saved the best of his arguably needless prequels for last, finally justifying an entertainment empire and cementing a myth.",A-
16," November 16, 2015"," Devout fans will have to go. For the rest of us, the best rewards of this show were long ago, in a galaxy that now seems far, far away.",2/4
17," November 16, 2015", Sith comes back with full force.,4/5
18," November 16, 2015"," It might not be quite the mind-blowing finale that die-hard fans were hoping for, but at least there is enough here to make the spine tingle.",3/5
19," November 16, 2015"," Despite our knowing where the story goes, Sith keeps your attention through its 140-plus minutes. And that says something about Lucas's skill and the power of the universe he created.",
20," November 16, 2015"," Say what you want about Lucas' one-take directing style, his over-reliance on blue screens or his cheesy tendency to reference himself, but his imagination is as fertile as ever.",
21," November 16, 2015"," Special effects have greatly advanced since 1978, but technology needs imagination after it has made an initial impression. Imagination is not the strong suit of Revenge of the Sith.",
22," November 16, 2015"," The final, bridging movie between George Lucas's two epic Star Wars trilogies ends not with a bang but with plenty of artistic whimpering.",2/5
